feedback_id,customer_id,date,score,complaint_category,comment
FB_1,CUST_928,2024-10-23,1,Qualité service,Très bonne expérience globale.
FB_2,CUST_85,2024-09-15,4,Support client,Très satisfait de l’ambiance.
FB_3,CUST_1473,2024-01-28,4,Support client,Expérience premium.
FB_4,CUST_147,2025-03-13,2,Aucune plainte,Je reviendrai pour un prochain événement.
FB_5,CUST_1357,2024-12-29,5,Communication,Le studio créatif est top.
FB_6,CUST_599,2024-08-29,5,Communication,Très satisfait de l’ambiance.
FB_7,CUST_25,2024-01-17,4,Support client,Le support a mis du temps à répondre.
FB_8,CUST_231,2024-04-27,4,Aucune plainte,Le studio créatif est top.
FB_9,CUST_284,2024-11-01,4,Qualité service,Excellent service client.
FB_10,CUST_205,2025-02-02,4,Prix,Expérience premium.
FB_11,CUST_712,2025-03-27,4,Organisation,Le support a mis du temps à répondre.
FB_12,CUST_608,2025-06-20,4,Réservation,Organisation moyenne.
FB_13,CUST_942,2024-12-20,5,Support client,Le support a mis du temps à répondre.
FB_14,CUST_1390,2025-04-08,2,Aucune plainte,Expérience premium.
FB_15,CUST_190,2024-09-16,5,Réservation,Expérience premium.
FB_16,CUST_1071,2025-02-03,1,Communication,Excellent service client.
FB_17,CUST_915,2024-11-23,2,Communication,Je reviendrai pour un prochain événement.
FB_18,CUST_1376,2025-05-03,4,Réservation,Excellent service client.
FB_19,CUST_66,2025-03-25,4,Aucune plainte,Le processus de réservation est compliqué.
FB_20,CUST_1371,2024-08-15,4,Organisation,Le studio créatif est top.
FB_21,CUST_13,2025-03-31,3,Support client,Le prix est un peu élevé.
FB_22,CUST_81,2024-03-24,5,Support client,Expérience premium.
FB_23,CUST_1109,2025-06-15,4,Réservation,Le studio créatif est top.
FB_24,CUST_404,2024-08-14,2,Prix,Expérience premium.
FB_25,CUST_236,2024-02-11,4,Aucune plainte,Très bonne expérience globale.
FB_26,CUST_211,2024-11-27,4,Réservation,Je reviendrai pour un prochain événement.
FB_27,CUST_1429,2024-12-25,5,Communication,Excellent service client.
FB_28,CUST_612,2025-01-23,3,Réservation,Je reviendrai pour un prochain événement.
FB_29,CUST_783,2024-02-03,3,Organisation,Le prix est un peu élevé.
FB_30,CUST_919,2024-08-17,3,Prix,Je reviendrai pour un prochain événement.
FB_31,CUST_669,2025-02-22,2,Qualité service,Le studio créatif est top.
FB_32,CUST_1090,2024-04-15,5,Prix,Expérience premium.
FB_33,CUST_1249,2024-08-27,3,Aucune plainte,Très satisfait de l’ambiance.
FB_34,CUST_1043,2024-12-10,3,Réservation,Excellent service client.
FB_35,CUST_1165,2025-01-12,4,Communication,Le support a mis du temps à répondre.
FB_36,CUST_732,2024-01-21,4,Support client,Le processus de réservation est compliqué.
FB_37,CUST_346,2025-05-30,2,Qualité service,Le prix est un peu élevé.
FB_38,CUST_891,2025-02-17,5,Organisation,Le studio créatif est top.
FB_39,CUST_1026,2025-05-15,5,Réservation,Le studio créatif est top.
FB_40,CUST_1094,2025-05-31,4,Organisation,Le processus de réservation est compliqué.
FB_41,CUST_1410,2025-05-02,5,Communication,Très satisfait de l’ambiance.
FB_42,CUST_305,2024-09-10,1,Communication,Le studio créatif est top.
FB_43,CUST_324,2024-08-12,4,Support client,Organisation moyenne.
FB_44,CUST_113,2024-09-10,5,Support client,Très satisfait de l’ambiance.
FB_45,CUST_1079,2025-02-25,1,Communication,Expérience premium.
FB_46,CUST_825,2025-05-25,4,Réservation,Le support a mis du temps à répondre.
FB_47,CUST_1204,2024-01-12,5,Support client,Très bonne expérience globale.
FB_48,CUST_300,2024-10-26,3,Réservation,Très bonne expérience globale.
