order_id,customer_id,order_date,offer_type,channel,revenue,cost,status
ORD_1,CUST_1117,2024-08-12,Corporate Package,TikTok,255.77,178.66,Completed
ORD_2,CUST_858,2024-12-13,Corporate Package,Event Walk-in,128.83,58.31,Completed
ORD_3,CUST_335,2024-07-19,Event Ticket,Instagram,317.83,189.71,Completed
ORD_4,CUST_409,2024-04-13,Event Ticket,LinkedIn,221.61,117.75,Completed
ORD_5,CUST_1203,2025-01-23,Media Package,TikTok,143.59,50.87,Refunded
ORD_6,CUST_1151,2024-12-12,Partner Offer,Partnership,225.88,120.67,Completed
ORD_7,CUST_762,2024-09-02,Creative Studio,TikTok,31.71,16.89,Completed
ORD_8,CUST_843,2024-06-24,Partner Offer,Partnership,460.07,241.11,Cancelled
ORD_9,CUST_629,2025-03-20,Corporate Package,Event Walk-in,207.09,94.66,Completed
ORD_10,CUST_1316,2024-05-27,Corporate Package,Google Search,496.57,163.26,Completed
ORD_11,CUST_11,2024-07-13,Membership,Instagram,261.23,96.72,Completed
ORD_12,CUST_464,2025-01-18,Creative Studio,Event Walk-in,324.22,167.43,Completed
ORD_13,CUST_307,2024-09-07,Partner Offer,Partnership,114.7,78.05,Completed
ORD_14,CUST_11,2024-07-12,Corporate Package,Instagram,367.74,178.75,Completed
ORD_15,CUST_1083,2024-06-01,Creative Studio,TikTok,189.65,73.12,Completed
ORD_16,CUST_577,2024-10-13,Corporate Package,Instagram,56.09,33.78,Refunded
ORD_17,CUST_206,2025-05-15,Membership,Partnership,51.86,19.46,Completed
ORD_18,CUST_245,2025-04-26,Workshop,Event Walk-in,303.7,198.67,Completed
ORD_19,CUST_1405,2024-06-20,Media Package,Referral,111.97,58.29,Completed
ORD_20,CUST_1399,2025-06-05,Creative Studio,LinkedIn,177.82,111.62,Completed
ORD_21,CUST_1390,2024-07-02,Creative Studio,Event Walk-in,74.96,24.07,Completed
ORD_22,CUST_748,2025-05-09,Media Package,Event Walk-in,213.11,99.22,Completed
ORD_23,CUST_287,2024-10-01,Media Package,Event Walk-in,476.59,313.49,Completed
ORD_24,CUST_1077,2024-02-07,Membership,Partnership,369.75,171.68,Refunded
ORD_25,CUST_655,2025-04-07,Corporate Package,Instagram,171.1,57.9,Completed
ORD_26,CUST_1253,2024-11-09,Creative Studio,Event Walk-in,332.76,107.45,Completed
ORD_27,CUST_942,2024-06-09,Partner Offer,Instagram,227.16,84.21,Completed
ORD_28,CUST_1344,2024-03-27,Event Ticket,Referral,190.27,63.25,Completed
ORD_29,CUST_760,2025-03-31,Media Package,Google Search,261.36,137.55,Completed
ORD_30,CUST_995,2024-02-12,Media Package,Instagram,239.56,159.62,Completed
ORD_31,CUST_1124,2025-03-12,Media Package,Event Walk-in,230.89,84.29,Completed
ORD_32,CUST_1036,2025-01-11,Workshop,Instagram,319.78,134.79,Completed
ORD_33,CUST_1432,2025-01-26,Event Ticket,Partnership,60.45,23.77,Completed
ORD_34,CUST_559,2024-09-28,Media Package,Partnership,411.59,286.08,Completed
ORD_35,CUST_765,2024-03-25,Membership,Event Walk-in,111.95,34.5,Completed
ORD_36,CUST_849,2024-03-21,Workshop,TikTok,248.31,108.68,Refunded
ORD_37,CUST_702,2024-04-10,Event Ticket,TikTok,43.36,29.29,Completed
ORD_38,CUST_456,2024-07-24,Creative Studio,Event Walk-in,54.69,28.7,Completed
ORD_39,CUST_1253,2024-09-13,Creative Studio,Event Walk-in,416.41,143.28,Completed
ORD_40,CUST_1275,2024-10-08,Membership,Instagram,439.86,247.09,Completed
ORD_41,CUST_775,2024-05-21,Partner Offer,Event Walk-in,479.15,251.32,Completed
ORD_42,CUST_866,2024-09-24,Event Ticket,Google Search,75.27,43.6,Completed
ORD_43,CUST_1033,2024-12-20,Workshop,Instagram,192.29,82.21,Completed
ORD_44,CUST_815,2025-02-19,Workshop,Referral,257.91,99.35,Completed
ORD_45,CUST_676,2024-01-13,Media Package,LinkedIn,312.97,174.49,Completed
ORD_46,CUST_1439,2024-06-01,Corporate Package,Instagram,301.11,95.14,Completed
ORD_47,CUST_684,2024-08-02,Media Package,Partnership,79.07,26.87,Completed
ORD_48,CUST_864,2025-04-24,Media Package,Event Walk-in,449.01,162.2,Completed
ORD_49,CUST_1164,2024-03-28,Creative Studio,Referral,157.79,85.38,Completed
ORD_50,CUST_1485,2025-03-03,Membership,TikTok,414.78,195.4,Completed
ORD_51,CUST_1429,2024-01-31,Creative Studio,Instagram,422.15,239.36,Completed
ORD_52,CUST_353,2024-05-11,Creative Studio,Partnership,291.77,196.77,Completed
ORD_53,CUST_1268,2025-05-26,Workshop,Event Walk-in,74.48,41.99,Completed
ORD_54,CUST_346,2024-12-13,Membership,TikTok,123.58,44.58,Completed
ORD_55,CUST_669,2025-02-17,Workshop,TikTok,29.7,11.96,Completed
ORD_56,CUST_871,2024-11-02,Creative Studio,TikTok,171.87,55.35,Completed
ORD_57,CUST_778,2024-02-02,Partner Offer,LinkedIn,222.71,79.15,Completed
ORD_58,CUST_1008,2024-12-04,Media Package,TikTok,311.15,201.22,Completed
ORD_59,CUST_1480,2025-02-04,Partner Offer,TikTok,430.12,199.11,Completed
ORD_60,CUST_10,2025-02-04,Event Ticket,Event Walk-in,143.54,56.91,Completed
ORD_61,CUST_367,2025-05-01,Event Ticket,TikTok,24.97,16.68,Completed
ORD_62,CUST_1061,2025-04-07,Media Package,TikTok,36.03,14.75,Completed
ORD_63,CUST_298,2024-06-24,Event Ticket,Instagram,325.58,172.83,Completed
ORD_64,CUST_555,2024-02-02,Workshop,Event Walk-in,30.83,17.82,Completed
ORD_65,CUST_452,2024-01-28,Membership,Google Search,296.99,89.2,Completed
ORD_66,CUST_356,2025-01-30,Membership,Event Walk-in,239.91,91.91,Completed
ORD_67,CUST_42,2025-06-20,Event Ticket,LinkedIn,248.7,112.0,Completed
ORD_68,CUST_471,2025-06-14,Event Ticket,LinkedIn,101.44,64.98,Completed
