feedback_id,customer_id,date,score,complaint_category,comment
FB_1,CUST_633,2025-05-13,3,Réservation,Service client réactif.
FB_2,CUST_38,2024-01-19,4,Qualité service,Service client réactif.
FB_3,CUST_1281,2025-02-09,5,Qualité service,Packaging premium.
FB_4,CUST_1363,2024-01-28,3,Support client,Taille indisponible trop souvent.
FB_5,CUST_643,2025-05-23,5,Aucune plainte,Livraison rapide et produit conforme.
FB_6,CUST_248,2024-03-29,2,Organisation,Expérience d’achat agréable.
FB_7,CUST_670,2025-01-06,5,Communication,Expérience d’achat agréable.
FB_8,CUST_856,2025-04-16,1,Organisation,Le prix est intéressant mais le retour est compliqué.
FB_9,CUST_102,2024-09-12,5,Prix,Le prix est intéressant mais le retour est compliqué.
FB_10,CUST_569,2024-04-30,4,Aucune plainte,Service client réactif.
FB_11,CUST_346,2024-10-27,4,Communication,Produit reçu en retard.
FB_12,CUST_156,2025-02-03,1,Support client,J’ai eu un problème avec ma commande.
FB_13,CUST_1347,2025-04-30,5,Support client,Taille indisponible trop souvent.
FB_14,CUST_1274,2024-07-22,5,Organisation,Très bonne qualité.
FB_15,CUST_533,2025-02-04,5,Réservation,Expérience d’achat agréable.
FB_16,CUST_426,2024-04-04,2,Qualité service,Le site est fluide et simple.
FB_17,CUST_1371,2025-01-17,2,Organisation,Service client réactif.
FB_18,CUST_727,2024-10-12,1,Qualité service,Livraison rapide et produit conforme.
FB_19,CUST_738,2024-12-23,3,Réservation,Le site est fluide et simple.
FB_20,CUST_1200,2024-01-29,3,Prix,Le prix est intéressant mais le retour est compliqué.
FB_21,CUST_683,2024-10-19,2,Support client,Le prix est intéressant mais le retour est compliqué.
FB_22,CUST_700,2025-03-04,4,Réservation,Le prix est intéressant mais le retour est compliqué.
FB_23,CUST_762,2024-09-17,1,Prix,Packaging premium.
FB_24,CUST_124,2024-09-24,1,Prix,Produit reçu en retard.
FB_25,CUST_773,2024-04-02,4,Organisation,Taille indisponible trop souvent.
FB_26,CUST_356,2024-08-11,2,Prix,Packaging premium.
FB_27,CUST_619,2024-06-10,1,Aucune plainte,Livraison rapide et produit conforme.
FB_28,CUST_174,2024-08-18,5,Réservation,Expérience d’achat agréable.
FB_29,CUST_1489,2024-09-29,4,Prix,Produit reçu en retard.
FB_30,CUST_630,2024-05-02,3,Réservation,Le prix est intéressant mais le retour est compliqué.
FB_31,CUST_150,2024-11-24,2,Aucune plainte,Produit reçu en retard.
FB_32,CUST_911,2025-06-25,2,Communication,Très bonne qualité.
FB_33,CUST_299,2024-08-06,1,Organisation,Le prix est intéressant mais le retour est compliqué.
FB_34,CUST_4,2025-04-18,2,Qualité service,Packaging premium.
FB_35,CUST_48,2024-01-18,4,Communication,Le prix est intéressant mais le retour est compliqué.
FB_36,CUST_256,2024-05-08,3,Prix,Livraison rapide et produit conforme.
FB_37,CUST_1187,2024-11-12,3,Aucune plainte,Service client réactif.
FB_38,CUST_233,2025-02-07,5,Qualité service,Très bonne qualité.
FB_39,CUST_993,2024-03-02,4,Prix,Taille indisponible trop souvent.
FB_40,CUST_593,2024-10-27,5,Qualité service,Produit reçu en retard.
FB_41,CUST_1183,2024-10-11,1,Support client,Le prix est intéressant mais le retour est compliqué.
FB_42,CUST_936,2025-06-12,5,Support client,Expérience d’achat agréable.
FB_43,CUST_1188,2024-06-27,4,Communication,Très bonne qualité.
FB_44,CUST_1201,2024-08-21,4,Communication,J’ai eu un problème avec ma commande.
FB_45,CUST_1462,2024-02-27,5,Qualité service,Packaging premium.
FB_46,CUST_99,2025-01-11,4,Qualité service,Livraison rapide et produit conforme.
FB_47,CUST_514,2024-02-01,2,Support client,Très bonne qualité.
FB_48,CUST_1342,2024-12-16,4,Aucune plainte,Le site est fluide et simple.
FB_49,CUST_72,2024-11-01,5,Prix,Service client réactif.
FB_50,CUST_1448,2025-01-18,2,Réservation,Le prix est intéressant mais le retour est compliqué.
FB_51,CUST_916,2025-05-01,4,Aucune plainte,Taille indisponible trop souvent.
FB_52,CUST_761,2025-06-18,4,Communication,Taille indisponible trop souvent.
FB_53,CUST_975,2024-09-05,4,Qualité service,Expérience d’achat agréable.
FB_54,CUST_465,2024-05-06,5,Réservation,Très bonne qualité.
FB_55,CUST_990,2024-02-15,5,Support client,Expérience d’achat agréable.
FB_56,CUST_390,2024-11-11,4,Qualité service,Le site est fluide et simple.
FB_57,CUST_486,2024-10-18,4,Communication,Taille indisponible trop souvent.
FB_58,CUST_1194,2024-09-20,1,Réservation,J’ai eu un problème avec ma commande.
FB_59,CUST_168,2025-03-15,2,Qualité service,Le site est fluide et simple.
FB_60,CUST_667,2024-11-05,3,Qualité service,Le prix est intéressant mais le retour est compliqué.
FB_61,CUST_517,2024-02-07,1,Prix,Expérience d’achat agréable.
FB_62,CUST_992,2024-01-29,2,Organisation,Le prix est intéressant mais le retour est compliqué.
FB_63,CUST_298,2024-11-06,2,Support client,Produit reçu en retard.
FB_64,CUST_497,2024-09-21,2,Support client,Livraison rapide et produit conforme.
FB_65,CUST_311,2025-03-30,3,Organisation,Livraison rapide et produit conforme.
FB_66,CUST_1064,2024-03-10,3,Réservation,Produit reçu en retard.
FB_67,CUST_362,2025-04-13,2,Aucune plainte,Service client réactif.
FB_68,CUST_842,2025-01-29,3,Prix,Très bonne qualité.
FB_69,CUST_1440,2025-04-11,1,Organisation,Très bonne qualité.
FB_70,CUST_131,2025-03-05,5,Aucune plainte,Taille indisponible trop souvent.
